type,name,name_en,iata,lat,lon,osm_id
Airport,日照山字河机场,Rizhao Shanzihe Airport,RIZ,35.4046577,119.3256305,way/377094185
Airport,东营胜利机场,DongYing Shengli Airport,DOY,37.5024672,118.7873541,way/381710290
Airport,阿坝红原机场,Aba Hongyuan Airport,AHJ,32.5313258,102.3519656,way/383731554
Airport,德令哈机场,Delingha Airport,HXD,37.1259361,97.2722653,way/385253083
Airport,菏泽牡丹机场,Heze Mudan Airport,HZA,35.2127735,115.734742,way/386595752
Airport,烟台蓬莱国际机场,Yantai Penglai International Airport,YNT,37.6602663,120.9789013,way/395921771
Airport,博乐阿拉山口机场 بۆرتالا ئالاتاۋ ئايرودرومى,Bole Alashankou Airport,BPL,44.8982045,82.3045006,way/399423884
Airport,长海机场,Changhai Airport,CNI,39.266747,122.6670706,way/399579004
Airport,哈尔滨平房机场,Harbin Pingfang Airport,PFA,45.6001516,126.6589877,way/409674726
Airport,常州奔牛国际机场,Changzhou Benniu International Airport,CZX,31.9185017,119.7751691,way/415288106
Airport,九寨黄龙机场,Jiuzhai Huanglong Airport,JZH,32.8531772,103.6823988,way/417936918
Airport,兴义万峰林机场,Xingyi Wanfenglin Airport,ACX,25.0839304,104.96057,way/423012712
Airport,文山砚山机场,Wenshan Yanshan Airport,WNH,23.5578518,104.3264938,way/423123839
Airport,通化三源浦机场,Tonghua Sanyuanpu Airport,TNH,42.0477304,125.7347247,way/426801275
Airport,上海虹桥国际机场,Shanghai Hongqiao International Airport,SHA,31.19765,121.3342185,way/428121878
Airport,三明沙县机场,Sanming Shaxian Airport,SQJ,26.4253579,117.832308,way/432047733
Airport,西昌青山机场,Xichang Qingshan Airport,XIC,27.9889535,102.1860219,way/434354746
Airport,伊春林都机场,Yichun Lindu Airport,LDS,47.7524187,129.0159148,way/437164202
Airport,承德普宁机场,Chengde Puning Airport,CDE,41.1209967,118.0762895,way/439561388
Airport,栾城机场,Luancheng Airport,LCT,37.9126299,114.5918626,way/439862899
Airport,固原六盘山机场,Guyuan Liupanshan Airport,GYU,36.0791562,106.2204334,way/440284672
Airport,齐齐哈尔三家子机场,Qiqihar Sanjiazi Airport,NDG,47.2309118,123.9149302,way/442417868
